Date,Mkt-RF,SMB,HML,RF
3/31/15,-1.12,3.03,-0.46,0
4/30/15,0.59,-2.98,1.85,0
5/31/15,1.36,0.87,-1.37,0
6/30/15,-1.53,2.83,-0.79,0
7/31/15,1.54,-4.15,-4.12,0
8/31/15,-6.04,0.49,2.66,0
9/30/15,-3.08,-2.64,0.53,0
10/31/15,7.75,-1.97,-0.07,0
11/30/15,0.56,3.64,-0.51,0
12/31/15,-2.17,-2.83,-2.59,0.01
1/31/16,-5.77,-3.35,2.08,0.01
2/29/16,-0.07,0.79,-0.5,0.02
3/31/16,6.96,0.87,1.16,0.02
4/30/16,0.92,0.69,3.26,0.01
5/31/16,1.78,-0.27,-1.81,0.01
6/30/16,-0.05,0.65,-1.47,0.02
7/31/16,3.95,2.64,-1.11,0.02
8/31/16,0.5,1.16,3.34,0.02
9/30/16,0.25,2.02,-1.49,0.02
10/31/16,-2.02,-4.39,4.16,0.02
11/30/16,4.86,5.47,8.29,0.01
12/31/16,1.82,0.1,3.58,0.03
1/31/17,1.94,-1.04,-2.78,0.04
2/28/17,3.57,-2.02,-1.79,0.04
3/31/17,0.17,1.2,-3.17,0.03
4/30/17,1.09,0.71,-1.87,0.05
5/31/17,1.06,-2.54,-3.78,0.06
6/30/17,0.78,2.17,1.35,0.06
7/31/17,1.87,-1.41,-0.29,0.07
8/31/17,0.16,-1.67,-2.24,0.09
9/30/17,2.51,4.55,3.03,0.09
10/31/17,2.25,-1.94,-0.05,0.09
11/30/17,3.12,-0.65,-0.04,0.08
12/31/17,1.06,-1.28,0.14,0.09
1/31/18,5.58,-3.03,-1.37,0.11
2/28/18,-3.65,0.26,-1.19,0.11
3/31/18,-2.35,3.95,-0.12,0.12
4/30/18,0.29,1.12,0.54,0.14
5/31/18,2.65,5.23,-3.16,0.14
6/30/18,0.48,1.18,-2.38,0.14
7/31/18,3.19,-2.18,0.4,0.16
8/31/18,3.44,1.15,-4.08,0.16
9/30/18,0.06,-2.37,-1.3,0.15
10/31/18,-7.68,-4.76,3.44,0.19
11/30/18,1.69,-0.79,0.25,0.18
12/31/18,-9.55,-2.63,-1.47,0.19
1/31/19,8.41,3.01,-0.62,0.21
2/28/19,3.4,2.06,-2.84,0.18
3/31/19,1.1,-3.13,-4.07,0.19
4/30/19,3.96,-1.68,1.93,0.21
5/31/19,-6.94,-1.2,-2.39,0.21
6/30/19,6.93,0.33,-1.08,0.18
7/31/19,1.19,-2.07,0.14,0.19
8/31/19,-2.58,-2.41,-4.99,0.16
9/30/19,1.44,-0.9,6.71,0.18
10/31/19,2.06,0.25,-2.07,0.15
11/30/19,3.87,0.87,-1.86,0.12
12/31/19,2.77,0.69,1.82,0.14