,const,SMB,HML
DXC,0.0027055396211937118,0.0021715608679726654,-0.00809494599225202
BBY,0.012832284303755766,-0.0024959364985914067,0.004890029094392236
AMG,-0.022844513339905736,0.001884329376905084,0.0041211734736507685
CNP,0.004365852329417184,-0.003109976675936947,-0.00035387171002660756
WMT,0.002256085408092243,-0.009324700740912684,0.0005291755159140962
MRK,0.007878745422708087,-0.0013862959505863224,0.00044208967140494683
NEM,0.015390078281641186,-0.0018133410811530329,-0.0004814717940126005
VFC,0.00047991771145777665,-0.0038115582934635465,0.0018988606960398786
MDT,0.005081029205740786,0.0005612577517815876,-0.0060464477109273135
HST,-0.0019433807333089149,0.006296628079568274,0.00360179415029901
MTD,0.009849093454534632,0.00021386304670501606,-0.003231432054297831
CCI,0.008170392797130673,-0.0021992467321780506,-0.004578017417380762
KMI,-0.007920304234908696,0.007718390783349018,0.005094565704281136
RMD,0.01606804151381458,0.002532073283521434,-0.003362279520304023
LUV,-0.0017266525234148969,0.0003939368151446649,0.0017739498215770884
NWS,-0.005440338078326789,-0.0016077704471970143,0.0039952038637948925
AMGN,0.005097785607785032,8.71634326662647e-05,-0.0018758092437069565
APD,0.007377462083887556,-0.0003627054419075229,0.001999555789713414
TGT,0.010983353196495457,-0.0023099528972273676,0.008850944654895661
MYL,-0.02451739329488167,-0.0017920329402582532,0.0032164576179845535
GPC,0.00017970405611034308,0.0022034506278241404,0.000337479480753113
FCX,-0.009325233471399831,0.0028905750011153034,0.01308726681338321
KO,0.003909311156168197,-0.007327431734269878,0.0019318378666084183
DISCK,-0.004946711686303383,-0.002414479014334999,0.0036422537224714995
FISV,0.014736631835340488,-0.0001012908610306671,-0.0011709301258874052
ACN,0.009868849355631766,-0.001090255890159837,-0.00019614123748286735
SRCL,-0.022258018285950594,-0.0061667067225554635,0.0013638119357144826
IT,0.005330009738181173,0.002859954316258897,0.0013218447512295091
PHM,0.008912260534399644,0.002526784842565276,0.0023870119062542067
ALB,0.002368433023525336,-0.0011266984794755168,-0.00025758756159645086
AAPL,0.010945490106924386,0.0007564990300080075,-0.0014213448715366982
EFX,0.0007058686601651588,0.0009031657817787195,-0.005197430068811308
FE,0.00675542660251788,-0.003724714786167248,0.00035829221456179765
COST,0.0076348598738099505,-0.005337756217054403,-0.0006210672996215375
GWW,0.0036072192006631515,0.0017760641829763456,0.0033555855765822146
M,-0.01468363666366234,0.0033643063690549026,0.004334180915001969
CRM,0.007240655436744172,-0.003623551979868748,-0.005029701714975215
LKQ,-0.0005326085327724342,0.0002992374193914252,0.0024582428417596605
AON,0.009985437459322209,-0.0009320299672676276,0.0008824032981715943
PEP,0.0038765008948540352,-0.0051370616693550315,0.0003762619610134279
RJF,0.005934456315558242,0.005776270290005258,0.0054285423341352175
ORCL,-0.00030873329603807844,-0.00047636694918717394,0.000958338563373307
MHK,-0.01030039515512748,0.006850199605064404,-0.005566166482586201
PPL,0.003213788860912207,-0.003584677698381959,-0.00010476790027688838
FMC,0.007747849643938671,0.006162776881721969,0.000392520353188118
OKE,0.010411584698332773,0.003687153216253335,0.0049461550243462245
EQR,0.0021537894849325695,-0.0006540268152366159,-0.0010204371076595687
RCL,0.0064846103747764425,0.0003814786571611753,-0.004840340375282264
IRM,-0.00028238116944961575,0.0005667475240435319,-0.0007878951648746628
BA,0.010541605927075266,-0.0039931123030906845,0.0014271650064803473
ABC,-0.00536466548471508,0.0007822960139874326,-0.0007299957212897794
GIS,-0.0018401569297662873,-0.002433618111848628,0.001419883062182391
SYF,0.0002616989183736578,0.005680691015958667,0.004259755555819467
BMY,0.0016600584754827615,0.001985280814248977,-0.0013999549621454372
ADBE,0.01894746395996438,0.0004054489242179386,-0.005348119948591375
SNPS,0.012269706516961822,0.00013769356286403935,-0.001051202951254008
BWA,-0.011193285288742631,-0.0014731364491562932,0.0027245253854158253
MSI,0.01689172001549831,0.0035454506921263162,0.002125092026228196
COF,0.0026832595241943714,0.0029451075989972166,0.006900800239364374
LYB,0.001094771355559243,0.0027945479431620438,0.007836472167065995
RTN,0.009296998377617842,0.0004271819595173228,-0.0021735031558821572
FFIV,-0.0019751851178526148,-0.0026618466299033285,-8.155923633566342e-05
HLT,0.007004457746887495,0.00029301987136919896,-0.0006668762973596288
CVS,-0.008748593771750666,-0.004433840966345019,0.0003476005328608418
NEE,0.013950661090650879,-0.0050687453291064916,-0.0027894273570881175
KMX,0.0011805103103689502,-0.0008023556494200942,0.003661892243403857
INCY,0.0029747959155394365,0.012613817986513506,-0.006734838440436305
MGM,0.0043902553717083265,0.00026880711804672173,0.001526726349337801
AES,0.006168696412546082,0.0011558796671140373,-0.0009374185245260127
GM,0.0019977612659321676,0.005060368333441943,0.003148803720164948
FDX,-0.010222293925008417,0.001436089780741605,0.001749636356137853
ADP,0.008672941225689214,0.0010249694497814928,0.0006921821042350927
HOLX,0.005915013045548035,0.00041096222592625943,0.00211130417799081
NRG,0.008250812352507887,-0.0002972579063153082,-0.0012409240248274598
NBL,-0.011951477081629695,0.0058069969072449676,0.010753862472465342
MSFT,0.018246494778507965,-0.006120863081755171,0.002064445482832605
COG,-0.00908810524348104,0.0056281508004474585,8.440954569904294e-05
OXY,-0.009218444744838376,0.005308771903360031,0.0007507314224642094
GOOGL,0.007742914690648582,-0.005274211618939678,-0.003913966428882119
GS,0.001127324995751028,-0.0005047916338817679,0.009202644399244328
HRB,-0.001419313719224248,0.0013765773714007963,-0.005815987980686029
AJG,0.010994589690793971,-0.0016742062334997789,0.001067838925669928
CINF,0.013482855290041706,8.396165746124605e-05,0.0024337218022983474
TXN,0.010461986120865432,0.0004636481869774165,0.001044400952679676
ETN,0.0023535083119491963,0.003195733748115312,0.002317054721812145
EXPE,0.0015574315459597216,-0.0019873195250015158,-0.0017953174906121345
TMO,0.00849275771962566,-0.003435970461675844,-0.0037754667543020274
BSX,0.013700153480046582,0.001497387329632833,-0.006848168417687013
CTAS,0.017276235045739274,0.0032088905644359765,0.00040016864918736815
WBA,-0.006046532490530412,-0.004361534659600072,0.0019194543966275963
UNH,0.015267962816378336,0.0026138072628575214,-0.0015733613871079706
HSY,0.005937632060358786,-0.008635131856980923,-0.00204983378007919
FB,0.010666730346371531,0.00278177781183486,-0.0068284958156252995
EIX,0.007599226215608214,-0.006438981786920579,0.0014000760562447765
SBUX,0.012275969697004691,-0.001667605123581487,0.0011269819404721676
MCO,0.009034888700167302,0.0013407153079012064,-0.0027757396729161583
HII,0.0061344759642599335,-0.0016701161898590047,0.0003544675395731993
RL,-0.0025974429597545303,0.005643897857828238,0.004001763182257052
LNT,0.009248455013509203,-0.003551652839529313,-0.0010403904434305629
AXP,0.004297960038259705,-0.0016311265326132982,0.00394211066380898
