Stock,FFM Returns
ADBE,0.329761028
MSFT,0.32250065
CTAS,0.2859733
BBY,0.264073092
SNPS,0.258978767
FISV,0.249902978
UNH,0.243093824
FB,0.238789094
RMD,0.23631678
AAPL,0.236049322
MCO,0.234858117
BSX,0.233860621
BA,0.233236127
MTD,0.23289527
MSI,0.231468305
OKE,0.230147782
NEE,0.227986191
ACN,0.225818128
TXN,0.224912306
TMO,0.223396092
GOOGL,0.214639843
DXC,0.210906153
NRG,0.208669696
CRM,0.207470204
CINF,0.199837867
RCL,0.195659444
AJG,0.195583018
RTN,0.19479614
FMC,0.193866857
COST,0.192129974
NEM,0.189685796
TGT,0.185069819
ADP,0.183269476
AON,0.183167419
SBUX,0.177744967
HII,0.172309762
HLT,0.171046851
LNT,0.166244327
IT,0.165213744
PHM,0.16513204
CCI,0.163975237
AES,0.162653808
RJF,0.1550463
APD,0.153160881
AMGN,0.151748658
MRK,0.147015861
MGM,0.146332879
GWW,0.143753783
EFX,0.140914861
AXP,0.132252227
ALB,0.132207229
HOLX,0.129967712
FE,0.129909559
VFC,0.129110804
ETN,0.128998261
HSY,0.125085342
WMT,0.125054707
MDT,0.12421349
LKQ,0.121771661
CNP,0.121501687
PEP,0.117935265
COF,0.116104299
EIX,0.11470824
LUV,0.107832862
KO,0.103820149
LYB,0.103512466
GS,0.099914539
KMX,0.099285234
PPL,0.098239274
SYF,0.091836098
EQR,0.08949458
EXPE,0.086285553
GM,0.08449462
BMY,0.083176807
ORCL,0.077350148
INCY,0.076793095
GPC,0.074228025
IRM,0.073060731
FFIV,0.064989396
GIS,0.063146888
DISCK,0.061552496
HST,0.052833242
RL,0.046267077
FCX,0.038646264
NWS,0.025555928
FDX,0.02425391
ABC,0.018486986
HRB,0.001103738
WBA,-0.007405433
BWA,-0.008936781
CVS,-0.010387317
MHK,-0.016397061
NBL,-0.038133714
KMI,-0.038511214
OXY,-0.042821394
COG,-0.050016632
SRCL,-0.085880676
M,-0.12659805
MYL,-0.130828848
AMG,-0.138798233