ticker,name,sector,sharpe ratio,P/E ratio,EPS,beta,mkt cap,shares
ACN,Accenture plc,Information Technology,1.113857669340631,28.34,7.49,1.03,139515576338,656946000
ADBE,Adobe Systems Inc,Information Technology,0.6160597494509739,63.17,6.01,1.09,185174936969,487726000
AES,AES Corp,Utilities,1.1826406099615412,27.44,0.76,1.05,13895280692,663893000
AMG,Affiliated Managers Group Inc,Financials,1.0979859640832188,267.18,0.31,1.69,4084648875,49272000
APD,Air Products & Chemicals Inc,Materials,1.2248244816385878,30.09,8.51,0.86,56495776935,220678000
ALB,Albemarle Corp,Materials,0.9902917360691272,16.67,5.38,1.57,9504798055,106033000
LNT,Alliant Energy Corp,Utilities,1.366717870072912,26.79,2.23,0.23,14358652779,244628000
GOOGL,Alphabet Inc Class A,Information Technology,1.1980263475215909,30.89,49.16,1.02,1044236513876,299895000
AXP,American Express Co,Financials,1.2144084830799449,17.01,7.99,0.99,111178449600,808041000
ABC,AmerisourceBergen Corp,Health Care,2.824204459596733,30.62,3.08,1.01,19427969245,205892000
AMGN,Amgen Inc,Health Care,1.8616491950461436,17.36,12.88,1.12,131810065840,589807000
AON,Aon plc,Financials,1.1043185924986845,37.0,6.37,0.83,54701475530,234137000
AAPL,Apple Inc.,Information Technology,0.9190627984536254,25.66,12.66,1.29,1421812279411,4375480000
AJG,Arthur J. Gallagher & Co.,Financials,0.9671115946025484,31.03,3.52,0.76,20549043209,188247000
ADP,Automatic Data Processing,Information Technology,1.0045789926171458,32.04,5.66,0.87,78255412500,431754000
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.8239151677600225,15.98,5.64,1.12,23344272933,258777000
HRB,Block H&R,Financials,2.2106749521427664,11.75,1.9,0.23,4369605316,195246000
BWA,BorgWarner,Consumer Discretionary,1.6822710938226986,9.2,3.71,1.91,7048901814,206410000
BSX,Boston Scientific,Health Care,0.933786790381214,12.7,3.33,0.87,58972695354,1393824000
BMY,Bristol-Myers Squibb,Health Care,2.6885152748619983,33.05,2.01,0.76,155607591281,2344185000
COG,Cabot Oil & Gas,Energy,1.9529827367707384,7.8,1.9,0.47,6037284157,407925000
COF,Capital One Financial,Financials,2.0347637955056546,9.31,11.02,1.25,46865423721,456600000
KMX,Carmax Inc,Consumer Discretionary,1.703158159266752,19.16,5.16,1.1,16144071451,163385000
CNP,CenterPoint Energy,Utilities,1.3612303069648497,21.58,1.26,0.44,13650929559,502242000
CINF,Cincinnati Financial,Financials,1.121373755776759,9.52,12.1,0.57,18822318390,163374000
CTAS,Cintas Corporation,Industrials,0.7031855337517299,35.38,8.51,0.99,31216601386,103751000
KO,Coca-Cola Company (The),Consumer Staples,2.1971578395739524,28.99,2.07,0.41,256586003265,4280000000
COST,Costco Wholesale Corp.,Consumer Staples,1.0606439166888946,37.75,8.43,0.9,140615987901,441758000
CCI,Crown Castle International Corp.,Real Estate,1.28197687434905,83.64,1.98,0.3,69005081855,415768000
CVS,CVS Health,Consumer Staples,1.7079627340498365,14.05,5.08,0.93,92849804253,1300964000
DISCK,Discovery Communications-C,Consumer Discretionary,2.3096592718590108,11.1,2.59,1.45,15392873644,360664000
ETN,Eaton Corporation,Industrials,1.6047656571399305,19.71,5.25,1.42,42807571261,413400000
EQR,Equity Residential,Real Estate,2.1589960066234664,34.53,2.5,0.45,32134657027,371671000
EXPE,Expedia Inc.,Consumer Discretionary,2.407311381193101,32.58,3.77,1.01,17792025802,139363000
FFIV,F5 Networks,Information Technology,1.7013819459588144,19.49,6.54,0.98,7753118169,60804000
FB,"Facebook, Inc.",Information Technology,1.1057666021536463,33.32,6.43,1.05,610509360122,2405746000
FDX,FedEx Corporation,Industrials,1.5098202059987225,583.74,0.27,1.71,41418694505,261119000
FE,FirstEnergy Corp,Utilities,1.510567029063732,31.45,1.66,0.2,28241486749,540714000
FISV,Fiserv Inc,Information Technology,0.9488954080578804,71.58,1.71,0.8,83164756192,679895000
FMC,FMC Corporation,Materials,0.8895256452785432,27.41,3.85,1.54,13670494208,129615000
FCX,Freeport-McMoRan Inc.,Materials,1.0313162803944909,78.35,0.16,2.42,17759187027,1450914000
IT,Gartner Inc,Information Technology,1.3373284476702674,59.34,2.57,1.21,13633532057,89453000
GIS,General Mills,Consumer Staples,2.6412807761987938,15.34,3.48,0.73,32242795100,604817000
GM,General Motors,Consumer Discretionary,1.9037211165069965,7.6,4.57,1.38,49672072361,1429002000
GPC,Genuine Parts,Consumer Discretionary,2.9244641954801547,17.71,5.45,0.89,14016415887,145293000
GS,Goldman Sachs Group,Financials,1.8288212830340496,11.27,21.03,1.32,83946946608,354087000
GWW,Grainger (W.W.) Inc.,Industrials,1.3581101466189422,17.94,17.15,0.97,16517112872,53688000
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,1.0598993481607704,37.27,3.04,1.14,31415437971,277448000
HOLX,Hologic,Health Care,2.425411589403344,173.01,0.31,0.85,13960272160,263302000
HST,Host Hotels & Resorts,Real Estate,2.308137021714921,10.89,1.55,1.17,12127479870,717178000
HII,Huntington Ingalls Industries,Industrials,1.1543380976790991,18.57,13.26,1.24,10035519873,40760000
INCY,Incyte,Health Care,1.2682583277151145,38.21,2.05,1.06,17006076538,216776000
IRM,Iron Mountain Incorporated,Real Estate,2.2335183274879347,35.67,0.93,0.53,9521121824,287300000
KMI,Kinder Morgan,Energy,1.0384695673083184,22.87,0.96,0.81,49831386000,2265063000
LKQ,LKQ Corporation,Consumer Discretionary,2.216065603315,23.73,1.4,1.3,10174538633,306462000
LYB,LyondellBasell,Materials,2.072392824468477,8.65,9.55,1.45,27505799491,333000000
M,Macy's Inc.,Consumer Discretionary,0.8264829931760201,5.39,3.09,0.66,5150446573,308965000
MDT,Medtronic plc,Health Care,1.9179209088058464,33.97,3.45,0.6,157266553194,1340378000
MRK,Merck & Co.,Health Care,1.3680581566358117,21.52,3.84,0.57,210425581484,2545984000
MTD,Mettler Toledo,Health Care,0.9692418639176908,33.97,22.47,1.39,18357249893,24053000
MSFT,Microsoft Corp.,Information Technology,0.6881506526553905,32.28,5.74,1.15,1409780857873,7606047000
MHK,Mohawk Industries,Consumer Discretionary,1.2551682079723412,13.4,10.3,1.36,9882403253,71622000
MCO,Moody's Corp,Financials,0.927983578033472,37.43,7.42,1.21,52148688479,187700000
MSI,Motorola Solutions Inc.,Information Technology,0.7857028051967873,37.31,4.94,0.5,31596072387,171336000
MYL,Mylan N.V.,Health Care,0.8932799452587622,239.58,0.09,1.72,11303303743,516177000
NEM,Newmont Mining Corporation,Materials,1.2486611843780435,15.83,2.78,0.16,36130286851,819839000
NEE,NextEra Energy,Utilities,0.9286832114176752,34.73,8.02,0.15,136133886150,488776000
NRG,NRG Energy,Utilities,0.6922170062921974,10.31,3.89,0.71,10078855985,251594000
OXY,Occidental Petroleum,Energy,2.054770999686784,29.53,1.41,0.9,37161985836,893317000
OKE,ONEOK,Energy,0.9173258155980414,25.56,3.01,1.11,31799253894,413085000
ORCL,Oracle Corp.,Information Technology,1.9496194449404018,17.61,3.15,1.11,177928293945,3207649000
PEP,PepsiCo Inc.,Consumer Staples,1.9512497779197016,28.31,5.19,0.53,204968008309,1389545000
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,1.6850277667707554,14.16,8.61,0.9,8984857815,48862000
PPL,PPL Corp.,Utilities,2.7554877393877537,14.38,2.46,0.51,25573676437,723033000
PHM,Pulte Homes Inc.,Consumer Discretionary,1.1252252514376082,12.77,3.66,0.56,12605132379,269975000
RJF,Raymond James Financial Inc.,Financials,1.2811378025870532,13.44,7.36,1.5,13782151374,139284000
RTN,Raytheon Co.,Industrials,1.158337993905323,19.05,11.93,0.85,63256224340,278441000
RMD,ResMed,Health Care,0.834963320137938,56.31,3.14,0.48,25539363082,144617000
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,1.3470625587214564,12.55,9.02,1.44,23627921924,208801000
CRM,Salesforce.com,Information Technology,0.8858414532311987,200.68,0.95,1.19,168485647293,887000000
LUV,Southwest Airlines,Industrials,1.7265757683369565,13.77,4.21,1.47,29987649751,517296000
SBUX,Starbucks Corp.,Consumer Discretionary,1.3884881607519866,29.15,3.06,0.56,104787934567,1173700000
SYF,Synchrony Financial,Financials,2.4933359586834767,6.07,5.56,1.21,20704848750,613477000
SNPS,Synopsys Inc.,Information Technology,0.8013663430252196,47.31,3.45,1.18,24589893168,150535000
TGT,Target Corp.,Consumer Discretionary,1.340881991913131,18.64,6.26,0.56,59100734918,506737000
TXN,Texas Instruments,Information Technology,0.8862468117623082,25.24,5.24,1.24,123223956977,932032000
HSY,The Hershey Company,Consumer Staples,1.4696819942330823,29.33,5.47,0.02,23779704176,148308000
TMO,Thermo Fisher Scientific,Health Care,0.9572371356767688,36.98,9.17,1.14,136012138268,400991000
UNH,United Health Group Inc.,Health Care,0.8928925321222835,20.86,14.33,0.69,283068652543,947415000
VFC,V.F. Corp.,Consumer Discretionary,1.3232414086548459,25.99,3.22,1.2,33022293377,394720000
WMT,Wal-Mart Stores,Consumer Staples,1.2710964130621618,23.55,5.0,0.36,334474559018,2837175000
WBA,Walgreens Boots Alliance,Consumer Staples,2.224201311650672,13.0,4.07,0.92,46817805348,885862000
